Vehicle Number,Institute,Point 1 latitude,Point 1 longitude,Point 2 latitude,Point 2 longitude
KA07B1355,NPSWF,12.95295815,77.80418605,12.93882066,77.72108484
KA53D8480,NPSWF,12.95270778,77.72599967,12.90060596,77.74783864
